<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
21.12.15;135.5050000;139.2800000;134.0200000;138.2200000;721862
28.12.15;137.5600000;140.4400000;136.5800000;137.7300000;577102
04.01.16;135.6500000;136.8500000;131.3700000;131.6100000;1146260
11.01.16;131.9900000;134.2400000;128.9000000;130.0000000;1040821
18.01.16;130.0500000;132.0900000;118.1300000;122.5500000;1752247
25.01.16;122.3900000;124.7200000;120.6700000;124.6900000;1004096
01.02.16;124.3400000;128.6300000;122.6600000;128.4300000;449412
08.02.16;126.4000000;127.3700000;116.9200000;121.0200000;1166786
15.02.16;121.7800000;133.9800000;121.3500000;133.0700000;887035
22.02.16;133.9100000;134.7600000;129.7000000;132.0100000;674002
29.02.16;131.9300000;139.3500000;130.9200000;137.8300000;767329
07.03.16;137.2800000;142.9200000;137.0200000;142.3600000;930857
14.03.16;142.0000000;147.4400000;141.1100000;147.1500000;790208
21.03.16;148.0600000;149.2200000;144.5700000;147.9700000;548886
28.03.16;147.8600000;153.0900000;147.3900000;152.5300000;723276
04.04.16;152.3900000;153.5200000;147.8300000;149.3400000;703699
11.04.16;150.2900000;152.7400000;148.5900000;151.7100000;664902
18.04.16;151.7500000;153.1200000;142.6300000;148.5200000;1534496
25.04.16;148.0500000;150.7600000;144.2400000;145.9500000;571827
02.05.16;146.8200000;147.9600000;142.9000000;147.3000000;716078
09.05.16;147.7100000;151.0600000;147.0200000;147.6800000;532752
16.05.16;147.8500000;149.9700000;143.9700000;147.2400000;580530
23.05.16;147.2900000;152.9300000;146.7400000;152.7700000;445424
30.05.16;152.8200000;153.7600000;151.5400000;152.8900000;383990
06.06.16;153.1500000;154.0800000;151.8800000;152.3600000;409152
13.06.16;151.7100000;152.7100000;149.0300000;151.9200000;518122
20.06.16;153.0700000;155.4500000;146.2100000;146.6800000;867861
27.06.16;146.2900000;152.9600000;142.5100000;152.3300000;763655
04.07.16;151.5000000;154.6000000;149.9700000;154.4600000;339367
11.07.16;155.3500000;161.4000000;155.2350000;159.7700000;762827
18.07.16;159.4800000;162.1500000;157.9300000;162.0700000;1025314
25.07.16;162.2450000;163.6000000;160.0400000;160.6400000;464061
01.08.16;160.6500000;163.5000000;159.8100000;163.5000000;720257
08.08.16;162.7600000;164.9400000;161.5300000;161.9300000;702753
15.08.16;162.4300000;162.9500000;159.5300000;160.0400000;700159
22.08.16;160.7500000;161.3400000;157.8600000;158.3500000;590018
29.08.16;158.7100000;160.5700000;158.1400000;159.5500000;573862
05.09.16;159.8800000;161.7500000;155.6600000;155.6600000;674410
12.09.16;155.2600000;158.5100000;153.3200000;153.8500000;913541
19.09.16;154.7700000;157.2100000;153.8800000;154.9900000;658142
26.09.16;154.3200000;165.0000000;153.4900000;158.8200000;754527
03.10.16;158.1300000;158.5100000;154.8800000;155.6900000;604900
10.10.16;156.9500000;158.4900000;152.3100000;154.4800000;870206
17.10.16;154.6200000;155.8900000;147.8300000;149.6300000;1561709
24.10.16;150.4900000;154.4400000;149.8300000;152.5500000;837959
31.10.16;152.7600000;154.3300000;151.6900000;152.4900000;664006
07.11.16;154.0600000;161.3000000;151.0100000;161.2400000;900294
14.11.16;161.4000000;161.8600000;157.5800000;160.3400000;541685
21.11.16;160.6700000;163.1600000;160.4200000;163.0700000;515880
28.11.16;163.2100000;164.6400000;158.3800000;160.0100000;903628
05.12.16;160.7600000;166.7000000;159.0000000;166.5000000;648652
12.12.16;166.7200000;169.9500000;165.1100000;166.7500000;862358
19.12.16;166.8300000;168.2300000;165.3200000;166.6900000;401933
26.12.16;166.9800000;167.9800000;165.5200000;166.0300000;204540
02.01.17;167.1300000;169.9100000;166.0200000;169.5600000;445208
09.01.17;169.4700000;169.7300000;165.4200000;167.2500000;536066
16.01.17;166.5400000;170.6400000;165.8300000;170.5900000;1020663
23.01.17;170.1300000;179.2400000;170.0700000;177.3700000;995201
30.01.17;176.7100000;176.7100000;172.9000000;175.7600000;600317
06.02.17;175.3000000;178.8700000;174.3800000;178.6800000;625993
13.02.17;179.4900000;182.7800000;178.4500000;180.6600000;630236
20.02.17;180.3600000;182.3600000;179.1300000;181.3100000;585216
27.02.17;181.1100000;182.5100000;179.3000000;180.0500000;734489
06.03.17;179.7300000;181.2100000;175.9300000;177.8400000;999881
13.03.17;177.8800000;178.9900000;174.8200000;175.6800000;886545
20.03.17;175.5800000;176.1800000;172.8800000;173.8000000;947737
27.03.17;172.5200000;174.9800000;172.1900000;174.1700000;811202
03.04.17;173.9500000;176.3200000;171.5800000;172.1500000;1253928
10.04.17;172.5300000;172.5600000;168.9900000;169.5800000;899741
17.04.17;169.8800000;171.6800000;159.7700000;160.3800000;2264222
24.04.17;161.4900000;162.0400000;159.6500000;160.2900000;917528
01.05.17;160.2000000;160.4100000;153.0900000;155.0500000;1239620
08.05.17;152.7700000;153.4200000;149.8400000;150.3400000;1228884
15.05.17;150.5500000;154.0600000;150.1200000;151.9200000;975293
22.05.17;152.0600000;153.7300000;151.2600000;152.4800000;570253
29.05.17;151.9700000;153.1700000;151.5900000;151.9400000;480876
05.06.17;151.9900000;154.2600000;150.8000000;154.0700000;808611
12.06.17;154.0900000;157.1300000;152.9700000;155.3600000;999642
19.06.17;155.4800000;155.6850000;153.4000000;154.1200000;554248
26.06.17;154.8000000;155.7200000;153.1500000;153.8900000;568442
03.07.17;153.6700000;156.0200000;152.1500000;152.9500000;522827
10.07.17;152.9000000;154.6000000;152.1000000;154.2700000;671110
17.07.17;153.5900000;154.2800000;146.5100000;146.9800000;1775907
24.07.17;147.0000000;147.4900000;143.6700000;144.2900000;952959
31.07.17;144.3600000;145.6600000;144.1900000;145.1300000;634257
07.08.17;144.8000000;145.0600000;141.1900000;141.8800000;856248
14.08.17;142.3300000;143.3300000;139.6100000;139.7400000;743826
21.08.17;139.5900000;144.1650000;139.1800000;143.7800000;689240
28.08.17;144.1900000;144.5600000;141.9300000;144.1000000;665449
04.09.17;143.7400000;144.6000000;141.6500000;142.4600000;616069
11.09.17;143.5200000;146.3500000;143.0700000;144.8300000;905457
18.09.17;144.8900000;145.8900000;144.2600000;145.0600000;527478
25.09.17;145.1000000;147.4100000;144.2100000;145.0100000;651450
02.10.17;145.3900000;147.5400000;145.2800000;146.5100000;476238
09.10.17;146.5500000;148.9200000;146.4600000;147.1300000;657804
16.10.17;147.2200000;162.4700000;146.1900000;162.0600000;2715693
23.10.17;162.0300000;162.5050000;152.9600000;153.6900000;1278066
30.10.17;153.7500000;154.9100000;151.5000000;151.5900000;702579
06.11.17;151.7300000;151.7600000;149.1600000;149.1700000;753248
13.11.17;148.9600000;150.1100000;146.2200000;149.0400000;867560
